category,sub-category,subcategory-description,name,description,amount
Soup & Salad,,,Miso Soup,"Bean curd, seaweed, and scallion",$4.00
Soup & Salad,,,Hamaguri Soup,Clear broth with clam,$12.00
Soup & Salad,,,Dobin Mushi Soup,"Clear broth with white fish, shrimp, and Japanese mushrooms",$12.00
Soup & Salad,,,Tofu & Avocado Salad,Mixed salad with tofu and avocado,$10.00
Soup & Salad,,,Kani Salad,"Crabmeat and julienne cucumber, flying fish roe mixed with Japanese mayonnaise",$11.00
Soup & Salad,,,Clear Soup,"Mushroom, fried onion, and scallion",$4.00
Soup & Salad,,,Seafood Soup,Mixed seafood with vegetables in a clear broth,$12.00
Soup & Salad,,,Green Salad,Iceberg lettuce with ginger dressing,$8.00
Soup & Salad,,,Seaweed Salad,Japanese seasoned seaweed,$10.00
Soup & Salad,,,Salmon Skin Salad,Mixed green salad topped with baked salmon skin,$15.00
Soup & Salad,,,Chef's Salad,Tuna and yellowtail on a bed of salad drizzled with chef's special dressing,$18.00
Kitchen,Appetizer,,Shumai,Steamed or fried shrimp dumpling,$8.00
Kitchen,Appetizer,,Yakitori,BBQ chicken on skewer,$9.00
Kitchen,Appetizer,,Age Tofu,Lightly battered fried bean curd,$9.00
Kitchen,Appetizer,,Edamame,Soybean pods with salt,$8.00
Kitchen,Appetizer,,Wasabi Shumai,Steamed spicy pork dumpling,$8.00
Kitchen,Appetizer,,Yakko Tofu,Cold soybean curd served with special sauce,$8.00
Kitchen,Appetizer,,Chawan Mushi,Steamed egg seafood custard,$8.00
Kitchen,Appetizer,,Nasu Shigi,Eggplant with miso sauce,$9.00
Kitchen,Appetizer,,Yaki Nasu,Sauteed eggplant with chef's sauce,$9.00
Kitchen,Appetizer,,Zaru Soba,Cold noodle with special sauce,$11.00
Kitchen,Appetizer,,Volcano,"Shrimp tempura, asparagus baked on a half shell with spicy Japanese mayonnaise",$12.00
Kitchen,Appetizer,,Ika Yaki,Sauteed squid in chef's sauce,$14.00
Kitchen,Appetizer,,Hamachi Kama,Broiled yellowtail collar,$16.00
Kitchen,Appetizer,,Soft-Shell Crab,Lightly fried with garlic and lemon saki sauce,$15.00
Kitchen,Appetizer,,BBQ Short Ribs,"Barbecued to perfection, marinated chef's special sauce",$16.00
Kitchen,Appetizer,,Gyoza,Pan-fried shrimp dumpling,$8.00
Kitchen,Appetizer,,Haru Maki,Japanese spring roll,$8.00
Kitchen,Appetizer,,Tatsuta Age,Deep-fried chicken served with tonkatsu sauce,$8.00
Kitchen,Appetizer,,Oshitashi,Cold cooked spinach with ponzu sauce,$8.00
Kitchen,Appetizer,,Yasai Gyoza,Vegetable dumpling,$8.00
Kitchen,Appetizer,,Oshinko,Assorted Japanese pickles,$7.00
Kitchen,Appetizer,,Garlic Edamame,Soybean pods with garlic sauce,$9.00
Kitchen,Appetizer,,Yaki Shrimp,Sauteed shrimp with garlic and lemon sauce,$10.00
Kitchen,Appetizer,,Garlic Broccoli,Steamed broccoli with garlic sauce,$8.00
Kitchen,Appetizer,,Tempura,Deep-fried shrimp and vegetable,$12.00
Kitchen,Appetizer,,Dynamite,"Scallop, crab meat, shiitake mushroom baked on half shell with Japanese mayonnaise",$12.00
Kitchen,Appetizer,,Fried Oyster,,$14.00
Kitchen,Appetizer,,Cod Fish,Baked cod marinated in miso sauce,$18.00
Kitchen,Appetizer,,Beef Usuyaki,"Sauteed mushroom, scallion, onion, garlic wrapped with tender sliced beef in chef's sauce",$14.00
Kitchen,Appetizer,,Kobe Steak,4 ounce Kobe steak with garlic lemon vinegar sauce,$60.00
Sushi Bar,Appetizer,,Kanu Su,Crabmeat seasoned with vinegar sauce,$10.00
Sushi Bar,Appetizer,,Idako Ajisuki,Small octopus,$12.00
Sushi Bar,Appetizer,,Tiger Eye,Squid wrapped around smoked salmon scallion,$12.00
Sushi Bar,Appetizer,,Sunomono,Mixed seafood with vinegar sauce,$14.00
Sushi Bar,Appetizer,,Beef Tataki,Seared thin slices of beef with ponzu sauce,$16.00
Sushi Bar,Appetizer,,Usuzukuri,Thin slices of fluke with ponzu sauce,$16.00
Sushi Bar,Appetizer,,Daily Sampler,Chef's choice of three independently prepared fish,$20.00
Sushi Bar,Appetizer,,Sushi Starter,4 pieces of sushi,$12.00
Sushi Bar,Appetizer,,Tako Su,Octopus with vinegar sauce,$13.00
Sushi Bar,Appetizer,,Maguro Natto,Tuna with ferment soy beans and scallions,$13.00
Sushi Bar,Appetizer,,Sashimi Starter,8 pieces of raw fish,$16.00
Sushi Bar,Appetizer,,Tuna Tataki,Seared tuna with ponzu sauce,$16.00
Sushi Bar,Appetizer,,Tricolor Tataki,"Seared tuna, salmon and white tuna with ponzu sauce",$18.00
Sushi Bar,Appetizer,,Ninja,Lightly fried eel sushi tempura with spicy mayo and eel sauce,$20.00
Sushi Bar,Appetizer,,Iron Tuna,Chopped spicy tuba wrapped with seared tuna with chef's special sauce,$20.00
Sushi Bar,Appetizer,,Cajun Tataki,"Lightly seared with Cajun seasoning choose: tuna, salmon, yellowtail, white tuna or fluke with spicy mayo and eel sauce",$20.00
Sushi Bar,Appetizer,,Blue Fin Ootoro,Fatty fin tuna delicately prepared to please the palate,$35.00
Sushi Bar,Appetizer,,Hirame Mono,Chopped spicy tuna wrapped with fluke in spicy mayo and eel sauce,$20.00
Sushi Bar,Appetizer,,Foie Gras Yellowtail,Yellowtail topped with foie gras and spring mixed and chef's special sauce,$31.00
Sushi Bar,Appetizer,,Oshinko,Assorted Japanese pickles,$7.00
